	BodyShapeI	Length	Environment	Habitat	DepthRangeShallow	DepthRangeDeep	ReproMode	Fertilization	RepGuild1
Pomadasys multimaculatus	fusiform/normal	76	saltwater/brack	demersal	20	50	dioecism	external	nonguarders
Pomadasys olivaceus	fusiform/normal	55	saltwater/brack	reef-associated	1	50	dioecism	external	nonguarders
Pomadasys perotaei	fusiform/normal	36	saltwater/brack	benthopelagic	NA	250	dioecism	external	nonguarders
Pomadasys punctulatus	fusiform/normal	30	saltwater	demersal	NA	50	dioecism	external	nonguarders
Pomadasys rogerii	fusiform/normal	60	saltwater/brack	benthopelagic	25	90	dioecism	external	nonguarders
Pomadasys striatus	fusiform/normal	22	saltwater	benthopelagic	NA	30	dioecism	external	nonguarders
Pomadasys stridens	fusiform/normal	20	saltwater	reef-associated	NA	68	dioecism	external	nonguarders
Pomadasys taeniatus	shortand/ordeep	25	saltwater	demersal	NA	3	dioecism	external	nonguarders
Pomatomus saltatrix	fusiform/normal	130	saltwater/brack	pelagic-oceanic	0	200	dioecism	NA	NA
Pomatoschistus bathi	elongated	3	saltwater/brack	demersal	7	14	dioecism	external	guarders
Pomatoschistus flavescens	elongated	6	saltwater/brack	reef-associated	0	NA	dioecism	external	guarders
Pomatoschistus knerii	elongated	NA	saltwater	demersal	NA	NA	NA	NA	NA
Pomatoschistus lozanoi	elongated	8	saltwater/brack	demersal	70	80	dioecism	external	NA
Pomatoschistus marmoratus	elongated	8	saltwater/brack/fresh	demersal	20	70	dioecism	external	guarders
Pomatoschistus microps	elongated	9	saltwater/brack/fresh	demersal	0	12	dioecism	external	guarders
Pomatoschistus minutus	elongated	11	saltwater/brack	demersal	4	200	dioecism	external	guarders
Pomatoschistus norvegicus	elongated	8	saltwater	demersal	18	325	NA	NA	NA
Pomatoschistus pictus	elongated	6	saltwater	demersal	1	55	NA	NA	NA
Pomatoschistus quagga	elongated	6	saltwater	demersal	NA	NA	NA	NA	NA
Ponticola kessleri	fusiform/normal	22	brack/fresh	benthopelagic	NA	NA	dioecism	external	guarders
Pontinus clemensi	fusiform/normal	54.90000153	saltwater	demersal	91	110	NA	external	NA
Pontinus furcirhinus	fusiform/normal	27	saltwater	bathydemersal	NA	300	NA	NA	NA
Pontinus nematophthalmus	fusiform/normal	14	saltwater	demersal	82	410	NA	NA	NA
Pontinus nigerimum	fusiform/normal	NA	saltwater	demersal	NA	146	NA	NA	NA
Pontinus rhodochrous	fusiform/normal	28	saltwater	benthopelagic	223	369	NA	NA	NA
Pontinus sierra	fusiform/normal	28	saltwater	demersal	NA	250	dioecism	external	nonguarders
Pontinus strigatus	fusiform/normal	NA	saltwater	bathydemersal	NA	NA	NA	NA	NA
Pontinus vaughani	fusiform/normal	44.29999924	saltwater	demersal	NA	NA	NA	NA	NA
Porcostoma dentata	fusiform/normal	36	saltwater	reef-associated	NA	120	NA	NA	NA
Porichthys margaritatus	elongated	17	saltwater	demersal	4	137	NA	NA	NA
Porichthys pauciradiatus	elongated	NA	saltwater	demersal	2	9	NA	NA	NA
Porichthys plectrodon	elongated	29	saltwater	demersal	1	100	dioecism	external	guarders
Porichthys porosissimus	elongated	34	saltwater	demersal	30	200	NA	NA	NA
Poroderma pantherinum	elongated	84	saltwater	reef-associated	0	256	dioecism	internal(oviduct)	nonguarders
Porogadus atripectus	Elongated	27.70000076	saltwater	bathydemersal	1800	4000	dioecism	external	nonguarders
Porogadus longiceps	elongated	46.5	saltwater	bathydemersal	245	3300	dioecism	external	nonguarders
Porogadus nudus	Elongated	19.79999924	saltwater	bathydemersal	2325	3200	dioecism	external	nonguarders
Porogobius schlegelii	Elongated	14.89999962	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Poromitra capito	fusiform/normal	10	saltwater	bathypelagic	400	1103	NA	NA	NA
Poromitra crassiceps	fusiform/normal	14.80000019	saltwater	bathypelagic	164	2730	dioecism	external	nonguarders
Poromitra megalops	fusiform/normal	6.400000095	saltwater	bathypelagic	150	1000	dioecism	external	nonguarders
Poromitra oscitans	fusiform/normal	8.159999847	saltwater	bathypelagic	645	5320	NA	NA	NA
Praealticus bilineatus	elongated	9	saltwater	reef-associated	0	6	dioecism	external	guarders
Priacanthus alalaua	fusiform/normal	26	saltwater	demersal	9	275	NA	NA	NA
Priacanthus arenatus	fusiform/normal	50	saltwater	reef-associated	10	200	dioecism	external	NA
Priacanthus blochii	shortand/ordeep	36.09999847	saltwater	reef-associated	15	30	NA	NA	NA
Priacanthus hamrur	shortand/ordeep	45	saltwater	reef-associated	8	250	dioecism	external	NA
Priacanthus macracanthus	fusiform/normal	30	saltwater	reef-associated	12	400	NA	NA	NA
Priacanthus sagittarius	fusiform/normal	35	saltwater	demersal	NA	350	NA	NA	NA
Priacanthus tayenus	fusiform/normal	35	saltwater	reef-associated	20	200	NA	NA	NA
Priacanthus zaiserae	shortand/ordeep	25	saltwater	demersal	30	320	NA	NA	NA
Priolepis akihitoi	fusiform/normal	NA	saltwater	reef-associated	3	25	NA	NA	NA
Priolepis cincta	elongated	7	saltwater/brack	reef-associated	1	70	protogyny	external	guarders
Priolepis compita	fusiform/normal	2.5	saltwater	reef-associated	NA	45	NA	NA	NA
Priolepis cyanocephala	fusiform/normal	3	saltwater	reef-associated	12	27	NA	NA	NA
Priolepis dawsoni	fusiform/normal	2.630000114	saltwater	reef-associated	0	70	NA	NA	NA
Priolepis fallacincta	fusiform/normal	3.200000048	saltwater	reef-associated	24	37	NA	NA	NA
Priolepis hipoliti	fusiform/normal	4	saltwater	reef-associated	1	130	truehermaphroditism	external	NA
Priolepis inhaca	fusiform/normal	4	saltwater	reef-associated	12	26	NA	NA	NA
Priolepis kappa	fusiform/normal	2.549999952	saltwater	reef-associated	0	20	NA	NA	NA
Priolepis nocturna	fusiform/normal	3.900000095	saltwater	reef-associated	8	30	NA	NA	NA
Priolepis nuchifasciata	fusiform/normal	4	saltwater/brack	reef-associated	5	30	NA	NA	NA
Priolepis psygmophilia	fusiform/normal	4.699999809	saltwater	demersal	0	40	NA	NA	NA
Priolepis semidoliata	fusiform/normal	2.400000095	saltwater	reef-associated	2	30	NA	NA	NA
Priolepis squamogena	fusiform/normal	5.400000095	saltwater	reef-associated	1	24	NA	NA	NA
Prionace glauca	fusiform/normal	400	saltwater/brack	pelagic-oceanic	1	1082	dioecism	internal(oviduct)	bearers
Prionotus albirostris	fusiform/normal	NA	saltwater	reef-associated	1	30	NA	NA	NA
Prionotus birostratus	elongated	18	saltwater	demersal	NA	NA	NA	NA	NA
Prionotus carolinus	elongated	38	saltwater/brack	demersal	15	170	dioecism	external	nonguarders
Prionotus evolans	fusiform/normal	45	saltwater/brack	reef-associated	9	180	dioecism	external	nonguarders
Prionotus horrens	elongated	NA	saltwater	demersal	NA	NA	NA	NA	NA
Prionotus nudigula	fusiform/normal	38.09999847	saltwater	demersal	15	200	NA	NA	NA
Prionotus ophryas	elongated	27	saltwater/brack	reef-associated	1	171	dioecism	external	nonguarders
Prionotus paralatus	elongated	17.5	saltwater/brack	demersal	36	180	dioecism	external	nonguarders
Prionotus roseus	fusiform/normal	20	saltwater/brack	demersal	9	183	dioecism	external	nonguarders
Prionotus rubio	elongated	30	saltwater/brack	demersal	NA	NA	NA	NA	NA
Prionotus scitulus	elongated	25	saltwater	demersal	1	45	dioecism	external	nonguarders
Prionotus stephanophrys	fusiform/normal	43	saltwater/brack	demersal	15	110	dioecism	external	nonguarders
Prionotus teaguei	elongated	15	saltwater	demersal	NA	NA	NA	NA	NA
Prionotus tribulus	elongated	35	saltwater	demersal	9	183	dioecism	external	nonguarders
Prionurus laticlavius	shortand/ordeep	60	saltwater	reef-associated	3	30	dioecism	external	nonguarders
Prionurus maculatus	fusiform/normal	45	saltwater/brack	reef-associated	NA	20	dioecism	external	nonguarders
Prionurus microlepidotus	fusiform/normal	70	saltwater/brack	reef-associated	NA	NA	dioecism	external	nonguarders
Prionurus punctatus	shortand/ordeep	60	saltwater	reef-associated	5	35	dioecism	external	nonguarders
Pristiapogon abrogramma	elongated	9.5	saltwater	reef-associated	15	40	dioecism	external	bearers
Pristiapogon exostigma	fusiform/normal	12	saltwater	reef-associated	3	40	dioecism	external	bearers
Pristiapogon fraenatus	shortand/ordeep	11	saltwater	reef-associated	3	50	dioecism	external	bearers
Pristiapogon kallopterus	shortand/ordeep	15.5	saltwater/brack	reef-associated	3	158	dioecism	external	bearers
Pristiapogon taeniopterus	shortand/ordeep	19.60000038	saltwater	reef-associated	1	42	dioecism	external	bearers
Pristicon trimaculatus	fusiform/normal	14.15999985	saltwater	reef-associated	1	35	dioecism	external	bearers
Pristigenys meyeri	shortand/ordeep	22.5	saltwater	reef-associated	100	200	NA	NA	NA
Pristigenys niphonia	shortand/ordeep	27.39999962	saltwater	reef-associated	1	250	NA	NA	NA
Pristigenys refulgens	shortand/ordeep	27.39999962	saltwater	reef-associated	80	100	NA	NA	NA
Pristigenys serrula	shortand/ordeep	34	saltwater	reef-associated	5	100	dioecism	external	nonguarders
Pristilepis oligolepis	shortand/ordeep	30	saltwater	reef-associated	14	220	dioecism	external	nonguarders
Pristiophorus nancyae	elongated	61.59999847	saltwater	pelagic-oceanic	286	570	NA	NA	NA
Pristipomoides argyrogrammicus	fusiform/normal	40	saltwater	reef-associated	70	350	dioecism	external	nonguarders
Pristipomoides auricilla	fusiform/normal	45	saltwater	benthopelagic	90	360	dioecism	external	nonguarders
Pristipomoides filamentosus	elongated	100	saltwater	benthopelagic	40	400	dioecism	external	nonguarders
Pristipomoides flavipinnis	fusiform/normal	56.5	saltwater	reef-associated	90	360	dioecism	external	nonguarders
Pristipomoides macrophthalmus	fusiform/normal	50	saltwater	benthopelagic	110	550	dioecism	external	nonguarders
Pristipomoides multidens	fusiform/normal	90	saltwater	demersal	40	350	dioecism	external	nonguarders
Pristipomoides sieboldii	fusiform/normal	79	saltwater	benthopelagic	100	360	dioecism	external	nonguarders
Pristipomoides typus	fusiform/normal	70	saltwater	demersal	40	120	dioecism	external	nonguarders
Pristipomoides zonatus	fusiform/normal	57.5	saltwater	benthopelagic	70	300	dioecism	external	nonguarders
Pristis clavata	elongated	318	saltwater/brack	demersal	1	20	dioecism	internal(oviduct)	bearers
Pristis microdon	elongated	700	saltwater/brack/fresh	demersal	0	10	dioecism	internal(oviduct)	bearers
Pristis pectinata	elongated	760	saltwater/brack/fresh	demersal	10	88	dioecism	internal(oviduct)	bearers
Pristis pristis	elongated	750	saltwater/brack/fresh	demersal	25	NA	dioecism	internal(oviduct)	bearers
Pristis zijsron	elongated	730	saltwater/brack/fresh	demersal	5	70	dioecism	internal(oviduct)	bearers
Pristotis obtusirostris	fusiform/normal	14	saltwater	reef-associated	2	80	dioecism	external	guarders
Prognathodes aculeatus	shortand/ordeep	10	saltwater	reef-associated	1	100	dioecism	external	nonguarders
Prognathodes brasiliensis	shortand/ordeep	NA	saltwater	demersal	20	70	dioecism	external	nonguarders
Prognathodes carlhubbsi	shortand/ordeep	12.10000038	saltwater	reef-associated	NA	35	dioecism	external	nonguarders
Prognathodes falcifer	shortand/ordeep	15	saltwater	reef-associated	10	150	dioecism	external	nonguarders
Prognathodes guezei	shortand/ordeep	11	saltwater	reef-associated	80	NA	dioecism	external	nonguarders
Prognathodes guyanensis	shortand/ordeep	13.60000038	saltwater	reef-associated	60	230	dioecism	external	nonguarders
Prognathodes guyotensis	shortand/ordeep	15	saltwater	bathydemersal	280	320	dioecism	external	nonguarders
Prognichthys brevipinnis	elongated	19	saltwater	pelagic-neritic	0	20	dioecism	external	nonguarders
Prognichthys gibbifrons	elongated	19.5	saltwater	pelagic-neritic	0	NA	dioecism	external	nonguarders
Prognichthys occidentalis	elongated	17.89999962	saltwater	pelagic-neritic	0	NA	dioecism	external	nonguarders
Prognichthys sealei	elongated	19	saltwater	pelagic-oceanic	0	20	dioecism	external	nonguarders
Prognichthys tringa	elongated	16	saltwater	pelagic-neritic	0	NA	dioecism	external	nonguarders
Promethichthys prometheus	elongated	100	saltwater	benthopelagic	80	800	dioecism	external	nonguarders
Promyllantor adenensis	eel-like	51.20000076	saltwater	bathydemersal	NA	2325	NA	NA	NA
Pronotogrammus eos	fusiform/normal	18	saltwater	bathydemersal	155	325	NA	NA	NA
Pronotogrammus martinicensis	fusiform/normal	20	saltwater	demersal	65	230	protogyny	external	NA
Pronotogrammus multifasciatus	fusiform/normal	28.5	saltwater	demersal	40	200	NA	NA	NA
Protemblemaria bicirrus	elongated	4.5	saltwater	reef-associated	1	15	NA	NA	NA
Proterorhinus semilunaris	elongated	9	brack/fresh	benthopelagic	NA	NA	NA	NA	NA
Protogobius attiti	elongated	8	brack/fresh	benthopelagic	0	5	NA	NA	NA
Protogrammus antipodus	fusiform/normal	2.119999886	saltwater	demersal	70	220	dioecism	external	nonguarders
Protomyctophum andriashevi	fusiform/normal	6	saltwater	bathypelagic	50	332	NA	NA	NA
Protomyctophum bolini	fusiform/normal	6.699999809	saltwater	bathypelagic	364	728	NA	NA	NA
Protomyctophum choriodon	fusiform/normal	9.5	saltwater	bathypelagic	NA	NA	NA	NA	NA
Protomyctophum crockeri	fusiform/normal	3.700000048	saltwater	pelagic-oceanic	100	500	dioecism	external	nonguarders
Protomyctophum gemmatum	fusiform/normal	8.600000381	saltwater	bathypelagic	NA	2000	NA	NA	NA
Protomyctophum luciferum	fusiform/normal	6.099999905	saltwater	bathypelagic	NA	2000	NA	NA	NA
Protomyctophum normani	fusiform/normal	5.599999905	saltwater	bathypelagic	NA	NA	NA	NA	NA
Protomyctophum parallelum	fusiform/normal	5	saltwater	bathypelagic	NA	2500	NA	NA	NA
Protomyctophum subparallelum	fusiform/normal	3.599999905	saltwater	pelagic-oceanic	350	NA	NA	NA	NA
Protomyctophum tenisoni	elongated	5.400000095	saltwater	pelagic-oceanic	96	NA	NA	NA	NA
Protonibea diacanthus	fusiform/normal	NA	saltwater/brack	demersal	5	100	dioecism	external	NA
Psammobatis normani	other	58	saltwater	demersal	NA	121	dioecism	internal(oviduct)	nonguarders
Psammodiscus ocellatus	shortand/ordeep	15	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Psammogobius biocellatus	fusiform/normal	12	saltwater/brack/fresh	benthopelagic	0	3	dioecism	external	guarders
Psammogobius knysnaensis	fusiform/normal	7.5	brack	demersal	NA	NA	NA	NA	NA
Psammoperca waigiensis	fusiform/normal	47	saltwater/brack	reef-associated	3	12	NA	NA	NA
Psenes arafurensis	shortand/ordeep	25	saltwater	pelagic-oceanic	0	650	NA	NA	NA
Psenes cyanophrys	shortand/ordeep	23	saltwater	bathypelagic	20	550	NA	NA	NA
Psenes maculatus	shortand/ordeep	30	saltwater/brack	pelagic-oceanic	0	1281	NA	NA	NA
Psenes pellucidus	shortand/ordeep	80	saltwater	bathypelagic	NA	1000	NA	NA	NA
Psenes sio	shortand/ordeep	NA	saltwater	benthopelagic	NA	NA	NA	NA	NA
Psenopsis cyanea	fusiform/normal	23.5	saltwater	bathydemersal	179	300	NA	NA	NA
Psettina gigantea	shortand/ordeep	13	saltwater	demersal	79	100	dioecism	external	nonguarders
Psettina iijimae	shortand/ordeep	8.5	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Psettina multisquamea	shortand/ordeep	NA	saltwater	demersal	NA	134	dioecism	external	nonguarders
Psettina tosana	shortand/ordeep	NA	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Psettina variegata	shortand/ordeep	9.199999809	saltwater	demersal	62	136	dioecism	external	nonguarders
Psettodes belcheri	shortand/ordeep	80	saltwater/brack	demersal	NA	150	NA	NA	NA
Psettodes bennettii	shortand/ordeep	55	saltwater	demersal	15	50	NA	NA	NA
Psettodes erumei	fusiform/normal	64	saltwater	demersal	1	100	dioecism	external	nonguarders
Pseudaesopia japonica	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudalutarius nasicornis	fusiform/normal	19	saltwater	reef-associated	1	55	NA	NA	NA
Pseudamia gelatinosa	elongated	11	saltwater	reef-associated	1	64	dioecism	external	bearers
Pseudamia zonata	elongated	21	saltwater	reef-associated	10	35	dioecism	external	bearers
Pseudamiops gracilicauda	elongated	5	saltwater	reef-associated	5	30	dioecism	external	bearers
Pseudamiops pellucidus	elongated	4	saltwater	demersal	NA	NA	dioecism	external	bearers
Pseudanthias bicolor	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudanthias bimaculatus	fusiform/normal	14	saltwater	reef-associated	20	100	NA	NA	NA
Pseudanthias bimarginatus	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudanthias connelli	fusiform/normal	11	saltwater	reef-associated	NA	NA	NA	NA	NA
Pseudanthias cooperi	fusiform/normal	14	saltwater	reef-associated	10	91	NA	NA	NA
Pseudanthias dispar	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudanthias elongatus	elongated	14	saltwater	demersal	60	100	NA	NA	NA
Pseudanthias engelhardi	fusiform/normal	10	saltwater	reef-associated	37	70	NA	NA	NA
Pseudanthias evansi	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudanthias fasciatus	fusiform/normal	21	saltwater	reef-associated	20	150	NA	NA	NA
Pseudanthias flavicauda	fusiform/normal	6.579999924	saltwater	reef-associated	30	61	NA	NA	NA
Pseudanthias georgei	Elongated	NA	saltwater	demersal	NA	130	NA	NA	NA
Pseudanthias gibbosus	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudanthias huchtii	fusiform/normal	12	saltwater	reef-associated	3	30	NA	NA	NA
Pseudanthias hypselosoma	fusiform/normal	19	saltwater	reef-associated	6	50	NA	NA	NA
Pseudanthias lori	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudanthias lunulatus	fusiform/normal	8	saltwater	reef-associated	40	75	NA	NA	NA
Pseudanthias luzonensis	fusiform/normal	14.5	saltwater	reef-associated	10	60	NA	NA	NA
Pseudanthias marcia	fusiform/normal	16	saltwater	reef-associated	14	30	NA	NA	NA
Pseudanthias parvirostris	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudanthias pascalus	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudanthias pictilis	fusiform/normal	13.5	saltwater	reef-associated	12	40	NA	NA	NA
Pseudanthias pleurotaenia	fusiform/normal	20	saltwater	reef-associated	0	180	NA	NA	NA
Pseudanthias pulcherrimus	fusiform/normal	7	saltwater	reef-associated	10	70	NA	NA	NA
Pseudanthias randalli	fusiform/normal	9.5	saltwater	reef-associated	15	120	NA	NA	NA
Pseudanthias rubrizonatus	fusiform/normal	12	saltwater	reef-associated	10	133	NA	NA	NA
Pseudanthias rubrolineatus	fusiform/normal	9.220000267	saltwater	bathydemersal	60	400	NA	NA	NA
Pseudanthias smithvanizi	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudanthias squamipinnis	fusiform/normal	15	saltwater	reef-associated	0	55	protogyny	external	nonguarders
Pseudanthias townsendi	fusiform/normal	9	saltwater	demersal	15	63	NA	NA	NA
Pseudanthias tuka	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudanthias ventralis	fusiform/normal	7	saltwater	reef-associated	26	120	NA	NA	NA
Pseudanthias xanthomaculatus	Elongated	NA	saltwater	demersal	NA	200	NA	NA	NA
Pseudaphya ferreri	elongated	3.5	saltwater	benthopelagic	5	40	NA	NA	NA
Pseudapocryptes borneensis	elongated	12	brack/fresh	demersal	NA	NA	NA	NA	NA
Pseudapocryptes elongatus	elongated	20	brack/fresh	demersal	NA	NA	NA	NA	NA
Pseudechidna brummeri	eel-like	103	saltwater	reef-associated	1	8	dioecism	external	nonguarders
Pseudobalistes flavimarginatus	shortand/ordeep	60	saltwater/brack	reef-associated	2	50	dioecism	external	guarders
Pseudobalistes fuscus	shortand/ordeep	55	saltwater	reef-associated	30	50	dioecism	external	guarders
Pseudobalistes naufragium	shortand/ordeep	100	saltwater	reef-associated	3	36	NA	NA	NA
Pseudobatos glaucostigma	elongated	89	saltwater	demersal	1	112	dioecism	internal(oviduct)	bearers
Pseudobatos lentiginosus	elongated	75	saltwater	reef-associated	0	30	dioecism	internal(oviduct)	bearers
Pseudobatos leucorhynchus	elongated	118	saltwater	demersal	2	8	dioecism	internal(oviduct)	bearers
Pseudobatos planiceps	elongated	113.5	saltwater	demersal	NA	NA	dioecism	internal(oviduct)	bearers
Pseudobatos prahli	elongated	90	saltwater	demersal	NA	70	dioecism	internal(oviduct)	bearers
Pseudobatos productus	elongated	119	saltwater/brack	demersal	1	91	dioecism	internal(oviduct)	bearers
Pseudocaranx dentex	fusiform/normal	122	saltwater/brack	reef-associated	10	238	dioecism	external	nonguarders
Pseudocaranx dinjerra	fusiform/normal	23	saltwater	benthopelagic	43	160	dioecism	external	nonguarders
Pseudocaranx wrighti	fusiform/normal	70	saltwater/brack	pelagic-neritic	NA	30	dioecism	external	nonguarders
Pseudocarcharias kamoharai	elongated	110	saltwater	pelagic-oceanic	0	590	dioecism	internal(oviduct)	bearers
Pseudocheilinus evanidus	fusiform/normal	9	saltwater	reef-associated	6	61	dioecism	external	NA
Pseudocheilinus hexataenia	fusiform/normal	10	saltwater	reef-associated	1	35	dioecism	external	NA
Pseudocheilinus ocellatus	fusiform/normal	10.25	saltwater	reef-associated	20	70	dioecism	external	NA
Pseudocheilinus octotaenia	fusiform/normal	14	saltwater	reef-associated	2	50	dioecism	external	NA
Pseudocheilinus tetrataenia	fusiform/normal	7.5	saltwater	reef-associated	6	44	dioecism	external	NA
Pseudochromis bitaeniatus	elongated	12	saltwater	reef-associated	2	38	NA	NA	NA
Pseudochromis chrysospilus	elongated	5.610000134	saltwater	reef-associated	3	11	NA	NA	NA
Pseudochromis cyanotaenia	elongated	6.199999809	saltwater	reef-associated	0	30	protogyny	external	NA
Pseudochromis dixurus	fusiform/normal	9	saltwater	reef-associated	5	60	NA	NA	NA
Pseudochromis dutoiti	elongated	9	saltwater	reef-associated	NA	NA	NA	NA	NA
Pseudochromis fuscus	elongated	10	saltwater	reef-associated	2	30	NA	NA	NA
Pseudochromis howsoni	fusiform/normal	10	saltwater	reef-associated	NA	23	NA	NA	NA
Pseudochromis jamesi	elongated	5.5	saltwater	reef-associated	1	18	NA	NA	NA
Pseudochromis kolythrus	Elongated	3.769999981	saltwater	demersal	18	31	NA	NA	NA
Pseudochromis kristinae	elongated	6.989999771	saltwater	reef-associated	0	25	NA	NA	NA
Pseudochromis leucorhynchus	fusiform/normal	9	saltwater	reef-associated	1	8	NA	NA	NA
Pseudochromis linda	fusiform/normal	8.100000381	saltwater	demersal	1	20	NA	NA	NA
Pseudochromis marshallensis	elongated	8	saltwater	reef-associated	0	30	NA	NA	NA
Pseudochromis melas	elongated	8	saltwater	reef-associated	15	30	NA	NA	NA
Pseudochromis natalensis	fusiform/normal	9	saltwater	benthopelagic	5	25	NA	NA	NA
Pseudochromis nigrovittatus	elongated	9	saltwater	reef-associated	0	15	NA	NA	NA
Pseudochromis pesi	fusiform/normal	10	saltwater	reef-associated	10	45	NA	NA	NA
Pseudochromis punctatus	Elongated	10.39999962	saltwater	reef-associated	10	65	NA	NA	NA
Pseudochromis quinquedentatus	fusiform/normal	9.5	saltwater	reef-associated	10	50	NA	NA	NA
Pseudochromis sankeyi	elongated	7	saltwater	reef-associated	2	10	NA	NA	NA
Pseudochromis socotraensis	elongated	3.450000048	saltwater	reef-associated	3	29	NA	NA	NA
Pseudochromis springeri	fusiform/normal	5.5	saltwater	reef-associated	2	60	NA	NA	NA
Pseudochromis tapeinosoma	elongated	7.400000095	saltwater	reef-associated	2	60	NA	NA	NA
Pseudochromis tauberae	Elongated	8	saltwater	reef-associated	0	6	NA	NA	NA
Pseudochromis wilsoni	fusiform/normal	8	saltwater	reef-associated	NA	NA	NA	NA	NA
Pseudocoris aurantiofasciata	fusiform/normal	20	saltwater	reef-associated	NA	45	dioecism	external	NA
Pseudocoris heteroptera	fusiform/normal	20	saltwater	reef-associated	2	54	dioecism	external	NA
Pseudocoris occidentalis	fusiform/normal	18	saltwater	reef-associated	1	30	NA	NA	NA
Pseudocoris yamashiroi	elongated	16	saltwater	reef-associated	5	30	dioecism	external	NA
Pseudocyttus maculatus	shortand/ordeep	68	saltwater	bathydemersal	400	1500	dioecism	external	nonguarders
Pseudodax moluccanus	fusiform/normal	30	saltwater	reef-associated	3	60	dioecism	external	NA
Pseudoginglymostoma brevicaudatum	elongated	75	saltwater	reef-associated	NA	NA	dioecism	internal(oviduct)	nonguarders
Pseudogobius olorum	elongated	6	brack/fresh	demersal	0	3	dioecism	internal(oviduct)	guarders
Pseudogramma astigma	elongated	7.400000095	saltwater	reef-associated	6	46	NA	NA	NA
Pseudogramma gregoryi	fusiform/normal	7.5	saltwater	reef-associated	1	70	truehermaphroditism	external	NA
Pseudogramma polyacantha	elongated	8.600000381	saltwater	reef-associated	1	65	NA	NA	NA
Pseudogramma thaumasia	fusiform/normal	9	saltwater	reef-associated	1	37	NA	NA	NA
Pseudojuloides cerasinus	fusiform/normal	NA	saltwater	reef-associated	2	104	dioecism	external	NA
Pseudojuloides elongatus	elongated	14	saltwater	reef-associated	2	50	dioecism	external	NA
Pseudojuloides kaleidos	fusiform/normal	10	saltwater	reef-associated	5	35	dioecism	external	NA
Pseudojuloides polackorum	fusiform/normal	12.30000019	saltwater	reef-associated	5	20	NA	NA	NA
Pseudolabrus guentheri	fusiform/normal	18	saltwater	reef-associated	1	20	dioecism	external	NA
Pseudolabrus luculentus	fusiform/normal	17	saltwater	demersal	10	50	dioecism	external	NA
Pseudomancopsetta andriashevi	shortand/ordeep	14.19999981	saltwater	demersal	200	365	NA	NA	NA
Pseudomonacanthus peroni	shortand/ordeep	35	saltwater	reef-associated	NA	NA	NA	NA	NA
Pseudomyxus capensis	fusiform/normal	45	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Pseudonezumia parvipes	elongated	30	saltwater	bathydemersal	1992	2308	NA	NA	NA
Pseudonezumia pusilla	elongated	25	saltwater	bathydemersal	1380	2000	NA	NA	NA
Pseudopataecus carnatobarbatus	fusiform/normal	9.739999771	saltwater	reef-associated	0	13	NA	NA	NA
Pseudopercis numida	fusiform/normal	120	saltwater	demersal	15	300	NA	NA	NA
Pseudopercis semifasciata	fusiform/normal	100	saltwater	demersal	NA	100	dioecism	external	nonguarders
Pseudophichthys splendens	eel-like	38.70000076	saltwater	bathydemersal	37	1647	NA	NA	NA
Pseudoplesiops howensis	elongated	2.799999952	saltwater	reef-associated	20	25	NA	NA	NA
Pseudoplesiops immaculatus	elongated	4	saltwater	reef-associated	2	20	NA	NA	NA
Pseudoplesiops rosae	elongated	2.299999952	saltwater	reef-associated	3	20	NA	NA	NA
Pseudoplesiops typus	elongated	4.599999905	saltwater	reef-associated	6	65	NA	NA	NA
Pseudorasbora parva	fusiform/normal	12.5	brack/fresh	benthopelagic	NA	NA	dioecism	external	nonguarders
Pseudorhombus argus	shortand/ordeep	25	saltwater	demersal	13	78	dioecism	external	nonguarders
Pseudorhombus arsius	shortand/ordeep	45	saltwater/brack	demersal	0	200	dioecism	external	nonguarders
Pseudorhombus dupliciocellatus	shortand/ordeep	40	saltwater	demersal	50	150	dioecism	external	nonguarders
Pseudorhombus elevatus	shortand/ordeep	37.5	saltwater	demersal	7	200	dioecism	external	nonguarders
Pseudorhombus javanicus	shortand/ordeep	35	saltwater	demersal	22	38	dioecism	external	nonguarders
Pseudorhombus jenynsii	shortand/ordeep	34	saltwater/brack	demersal	NA	150	dioecism	external	nonguarders
Pseudorhombus malayanus	shortand/ordeep	35	saltwater	demersal	20	27	dioecism	external	nonguarders
Pseudorhombus natalensis	shortand/ordeep	26.5	saltwater	demersal	60	260	dioecism	external	nonguarders
Pseudorhombus quinquocellatus	shortand/ordeep	20	saltwater	demersal	NA	NA	dioecism	external	nonguarders
